"Specimen.Collection.Date","Asian","Black or African American","Hispanic or Latino/a, all races","Multi-racial","Native American","Native Hawaiian or Other Pacific Islander","Other","Unknown","White"
2020-06-15,0,0,28,0,0,0,0,2,5
2020-06-16,3,0,32,0,0,0,0,4,9
2020-06-17,2,2,34,0,0,0,0,0,13
2020-06-18,5,4,19,1,0,1,0,3,12
2020-06-19,2,4,20,0,1,0,0,6,10
2020-06-20,7,2,24,0,0,0,0,2,6
2020-06-21,3,1,24,0,0,1,0,1,2
2020-06-22,7,6,44,7,1,0,0,3,37
2020-06-23,11,10,35,2,0,0,0,4,16
2020-06-24,6,5,35,4,0,0,0,7,3
2020-06-25,9,7,29,2,0,0,0,10,9
2020-06-26,7,5,45,2,0,0,0,4,7
2020-06-27,2,10,28,0,0,0,0,1,11
2020-06-28,5,2,18,0,1,0,0,5,5
2020-06-29,11,2,39,1,0,1,0,8,10
2020-06-30,15,6,47,4,0,1,0,5,19
2020-07-01,7,5,37,4,1,1,0,10,13
2020-07-02,7,11,39,11,0,1,0,9,24
2020-07-03,7,2,26,1,1,0,0,38,11
2020-07-04,0,2,9,0,0,0,0,5,11
2020-07-05,6,3,21,1,0,2,0,8,9
2020-07-06,12,4,46,1,0,0,0,9,14
2020-07-07,7,11,34,3,0,0,0,17,24
2020-07-08,9,4,61,2,0,2,0,18,18
2020-07-09,10,8,45,0,1,2,0,17,23
2020-07-10,6,7,66,0,0,0,0,25,23
2020-07-11,5,4,33,2,0,3,0,5,15
2020-07-12,8,1,32,0,0,0,0,12,12
2020-07-13,8,8,81,5,0,1,0,23,16
2020-07-14,15,9,62,2,0,1,0,33,39
2020-07-15,13,9,75,4,2,3,0,25,21
2020-07-16,8,9,82,3,0,3,0,25,15
2020-07-17,10,26,63,4,0,0,0,30,20
2020-07-18,6,11,38,5,0,0,0,7,12
2020-07-19,4,4,46,1,0,0,0,7,12
2020-07-20,11,7,72,3,0,4,0,27,22
2020-07-21,12,6,67,0,0,2,0,23,18
2020-07-22,11,9,60,5,0,5,0,18,19
2020-07-23,10,10,62,2,1,3,0,21,13
2020-07-24,9,6,61,1,0,2,0,18,23
2020-07-25,5,6,42,1,1,3,0,12,9
2020-07-26,5,4,36,2,0,0,0,4,8
2020-07-27,8,3,53,3,0,2,0,8,15
2020-07-28,4,7,63,1,1,5,0,6,12
2020-07-29,15,6,74,6,0,1,0,19,16
2020-07-30,17,3,70,3,0,1,0,14,18
2020-07-31,20,5,61,6,0,1,0,12,10
2020-08-01,11,7,26,1,0,1,0,12,9
2020-08-02,7,2,20,1,0,4,0,6,5
2020-08-03,6,13,62,1,0,0,0,14,9
2020-08-04,7,3,52,0,0,0,0,10,11
2020-08-05,13,15,81,1,1,4,0,10,6
2020-08-06,9,3,60,0,0,0,0,14,14
2020-08-07,11,4,82,6,3,2,0,10,12
2020-08-08,4,8,34,2,1,0,0,7,6
2020-08-09,3,2,39,2,1,0,0,8,5
2020-08-10,12,2,53,6,0,1,0,11,17
2020-08-11,7,4,66,4,0,3,0,12,10
2020-08-12,10,7,83,3,1,5,0,13,12
2020-08-13,8,6,57,4,0,3,0,6,19
2020-08-14,23,6,61,3,1,0,0,5,8
2020-08-15,16,3,27,4,0,1,0,9,6
2020-08-16,8,4,14,1,0,1,0,8,2
2020-08-17,8,6,44,1,0,5,0,7,9
2020-08-18,13,4,39,2,0,2,0,11,9
2020-08-19,12,7,59,3,0,2,0,7,7
2020-08-20,12,12,37,2,0,1,0,11,10
2020-08-21,15,1,35,4,0,7,0,6,10
2020-08-22,10,4,21,0,0,0,0,1,7
2020-08-23,8,1,25,0,0,1,0,3,3
2020-08-24,11,2,57,4,0,0,0,7,11
2020-08-25,10,4,29,3,0,2,0,16,15
2020-08-26,17,4,50,3,0,0,0,7,9
2020-08-27,17,4,56,2,0,0,0,9,10
2020-08-28,9,2,30,0,0,0,0,9,14
2020-08-29,8,2,20,1,0,2,0,7,6
2020-08-30,4,2,15,0,0,1,0,2,8
2020-08-31,16,8,38,0,0,1,0,13,7
2020-09-01,12,7,36,0,0,2,0,11,15
2020-09-02,27,1,31,3,0,2,0,7,10
2020-09-03,17,4,36,3,1,2,0,15,11
2020-09-04,8,4,40,4,0,0,0,15,5
2020-09-05,8,3,17,0,0,0,0,4,5
2020-09-06,6,2,8,0,0,1,0,6,2
2020-09-07,11,5,15,1,0,1,0,5,10
2020-09-08,13,1,27,4,0,1,0,11,12
2020-09-09,22,2,25,1,0,2,0,7,10
2020-09-10,11,5,23,1,0,1,0,1,10
2020-09-11,31,4,33,1,0,0,0,9,13
2020-09-12,7,2,23,0,0,0,0,4,7
2020-09-13,3,1,8,0,0,0,0,4,5
2020-09-14,14,2,48,4,0,0,0,12,14
2020-09-15,17,4,29,2,0,1,0,10,18
2020-09-16,6,4,40,1,0,1,0,9,8
2020-09-17,7,5,24,2,0,1,0,3,9
2020-09-18,12,9,35,2,0,0,0,9,21
2020-09-19,6,3,17,0,0,0,0,3,8
2020-09-20,5,1,9,0,0,0,0,1,1
2020-09-21,6,2,25,3,1,1,0,5,10
2020-09-22,10,0,20,3,0,0,0,7,14
2020-09-23,8,2,31,2,0,0,0,3,18
2020-09-24,11,2,44,1,0,1,0,5,10
2020-09-25,14,5,17,1,0,0,0,4,12
2020-09-26,2,0,11,1,0,0,0,2,4
2020-09-27,5,0,14,1,0,0,0,4,9
2020-09-28,9,3,32,0,0,1,0,4,2
2020-09-29,10,4,8,2,0,0,0,5,14
2020-09-30,13,1,18,2,0,1,0,2,16
2020-10-01,4,1,16,1,0,0,0,8,10
2020-10-02,6,1,5,2,0,0,0,3,5
2020-10-03,4,0,5,1,0,0,0,2,6
2020-10-04,3,1,5,1,0,0,0,0,4
2020-10-05,3,1,10,0,0,0,0,6,4
2020-10-06,5,0,13,1,0,1,0,4,10
2020-10-07,2,0,11,1,0,1,0,3,12
2020-10-08,0,1,11,3,0,1,0,0,7
2020-10-09,2,0,2,0,0,0,0,0,5
2020-10-10,0,0,0,0,0,0,0,0,0
